# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
3.0000 3.3500 0.0995   2 2 1   3 0 -2   0 1 1   (1)
3.1623 3.3912 0.0933   3 1 0   1 2 3   0 1 2   (1)
3.1623 3.4785 0.0909   3 1 0   0 3 2   -1 1 1   (1)
3.3166 3.4902 0.0864   3 1 -1   2 0 3   1 0 1   (1)
2.2361 3.4928 0.1280   2 1 0   0 2 3   1 1 1   (1)
2.4495 3.5355 0.1155   2 1 1   5 -1 0   1 0 0   (1)
3.3166 3.5420 0.0851   3 1 1   1 4 0   0 1 0   (1)
3.0000 3.5434 0.0941   2 1 -2   2 0 3   1 0 1   (1)
1.7321 3.5590 0.1622   1 1 -1   2 0 3   1 0 1   (1)
2.4495 3.5824 0.1140   2 1 1   0 4 1   -1 1 0   (1)
3.3166 3.5929 0.0839   3 1 1   0 3 -2   1 1 0   (1)
3.6056 1.0000 0.2774   3 0 2   0 1 0   1 0 1   (12)
3.6056 1.0377 0.2673   3 2 0   1 1 1   0 0 1   (1)
3.6056 1.1435 0.2425   3 0 2   1 1 0   1 0 1   (1)
3.6056 1.3009 0.2132   3 0 2   0 1 1   1 0 1   (1)
3.6056 1.4936 0.1857   3 0 2   2 1 0   1 0 1   (1)
3.6056 1.7097 0.1622   3 0 2   1 1 -1   1 0 1   (1)
3.6056 1.9415 0.1429   3 0 2   0 1 2   1 0 1   (1)
3.6056 2.0191 0.1374   3 2 0   1 1 2   0 0 1   (1)
3.6056 2.1662 0.1280   3 2 0   0 1 2   1 1 1   (1)
3.6056 2.1839 0.1270   3 0 2   2 1 -1   1 0 1   (1)
3.6056 2.4337 0.1140   3 0 2   4 1 0   1 0 1   (1)
3.6056 2.6890 0.1031   3 0 2   0 1 3   1 0 1   (1)
3.6056 2.7873 0.0995   3 2 0   1 3 2   0 1 1   (1)
3.6056 2.9483 0.0941   3 0 2   5 1 0   1 0 1   (1)
3.0000 3.6056 0.0925   2 2 1   4 -1 0   1 0 0   (1)
3.6056 3.0128 0.0921   3 2 0   1 1 3   0 0 1   (1)
3.6056 3.0509 0.0909   3 2 0   1 0 3   2 1 1   (1)
3.6056 3.1986 0.0867   3 2 0   2 0 3   1 1 -1   (1)
3.6056 3.2106 0.0864   3 0 2   1 1 -3   1 0 1   (1)
3.6056 3.3050 0.0839   3 2 0   1 -1 3   1 0 1   (1)
3.6056 3.4752 0.0798   3 0 2   0 1 4   1 0 1   (1)
3.6056 3.5734 0.0776   3 0 2   2 3 -1   1 1 0   (1)
3.1623 3.6194 0.0874   3 1 0   1 4 1   1 0 0   (1)
3.6056 3.6480 0.0760   3 0 2   -1 2 3   0 1 2   (1)
1.4142 3.6742 0.1925   1 1 0   5 0 1   1 0 0   (1)
3.0000 3.6818 0.0905   2 2 1   -3 1 2   0 1 1   (1)
3.3166 3.6927 0.0816   3 1 1   -1 2 3   1 0 0   (1)
2.2361 3.7148 0.1204   2 1 0   0 4 1   1 0 0   (1)
2.4495 3.7193 0.1098   2 1 1   1 4 -1   1 2 0   (1)
3.0000 3.7268 0.0894   2 -2 1   1 2 3   0 1 1   (1)
3.1623 3.7283 0.0848   3 1 0   -1 2 3   1 1 1   (1)
3.6056 3.7314 0.0743   3 0 2   -1 3 2   0 1 1   (1)
3.7417 0.4629 0.5774   3 2 1   1 1 0   0 1 0   (1)
3.7417 0.5976 0.4472   3 2 1   1 0 0   0 1 0   (1)
3.7417 0.6547 0.4082   3 2 1   1 1 1   1 0 0   (1)
3.7417 0.8452 0.3162   3 1 2   0 0 1   1 0 0   (1)
3.7417 0.9636 0.2774   3 1 2   0 1 0   1 0 1   (1)
3.7417 1.1650 0.2294   3 2 1   0 1 1   1 0 0   (1)
3.7417 1.2247 0.2182   3 2 1   1 2 0   0 1 0   (1)
3.7417 1.3628 0.1961   3 2 1   1 1 -1   0 0 1   (1)
