# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
5.4772 1.4024 0.1302   5 2 1   2 1 -1   0 0 1   (1)
5.4772 1.5166 0.1204   5 2 1   1 2 0   0 1 0   (1)
5.4772 1.5706 0.1162   5 2 1   2 1 2   0 0 1   (1)
5.4772 1.6931 0.1078   5 2 1   2 -1 0   1 0 0   (1)
5.4772 1.8348 0.0995   5 1 2   1 2 0   2 0 1   (1)
5.4772 2.0897 0.0874   5 2 1   3 -1 0   1 0 0   (1)
5.4772 2.1134 0.0864   5 2 1   0 1 2   2 1 1   (1)
5.4772 2.1679 0.0842   5 2 1   0 2 -1   1 1 0   (1)
5.4772 2.2286 0.0819   5 2 1   1 -2 0   0 1 0   (1)
5.4772 2.2730 0.0803   5 2 1   1 1 -2   2 1 0   (1)
5.4772 2.3805 0.0767   5 2 1   2 1 -2   0 0 1   (1)
5.4772 2.4427 0.0747   5 2 1   1 3 0   0 1 0   (1)
5.4772 2.4900 0.0733   5 1 2   1 1 3   1 0 0   (1)
5.4772 2.5495 0.0716   5 2 1   2 1 3   0 0 1   (1)
5.4772 2.7142 0.0673   5 2 1   2 -2 1   1 1 0   (1)
5.4772 2.7689 0.0659   5 2 1   1 3 -1   1 1 0   (1)
5.4772 2.8925 0.0631   5 1 2   0 1 3   1 0 0   (1)
5.4772 2.9944 0.0610   5 2 1   -1 2 2   0 1 1   (1)
5.4772 3.1570 0.0578   5 2 1   1 -3 0   0 1 0   (1)
5.4772 3.2352 0.0564   5 1 2   1 -3 1   1 2 0   (1)
5.4772 3.2965 0.0554   5 2 1   0 3 2   1 0 0   (1)
5.4772 3.3166 0.0550   5 2 1   1 -3 1   1 1 0   (12)
5.4772 3.3615 0.0543   5 2 1   2 1 -3   0 0 1   (1)
5.4772 3.3714 0.0542   5 2 1   1 4 0   0 1 0   (1)
5.4772 3.5308 0.0517   5 2 1   2 1 4   0 0 1   (1)
5.4772 3.6009 0.0507   5 2 1   0 -2 3   2 1 0   (1)
5.4772 3.6286 0.0503   5 2 1   -2 1 3   0 1 2   (1)
5.4772 3.7014 0.0493   5 2 1   -1 3 2   1 0 0   (1)
5.4772 3.7372 0.0489   5 2 1   1 1 4   1 0 -2   (1)
5.4772 3.7815 0.0483   5 2 1   0 4 1   2 -1 0   (1)
5.4772 3.9200 0.0466   5 2 1   0 -4 1   1 1 0   (1)
5.4772 3.9581 0.0461   5 1 2   2 0 5   1 0 2   (1)
5.4772 3.9749 0.0459   5 2 1   0 1 4   3 1 0   (1)
5.4772 4.0456 0.0451   5 1 2   1 4 -1   2 0 1   (1)
5.4772 4.0866 0.0447   5 2 1   1 -4 0   0 1 0   (1)
5.4772 4.1069 0.0445   5 2 1   0 1 -4   1 0 2   (1)
5.4772 4.1191 0.0443   5 2 1   1 0 -4   2 1 2   (1)
5.4772 4.2973 0.0425   5 2 1   1 5 1   1 -1 0   (1)
5.4772 4.3012 0.0424   5 2 1   1 5 0   0 1 0   (1)
5.4772 4.3436 0.0420   5 2 1   2 1 -4   0 0 1   (1)
5.4772 4.4907 0.0407   5 2 1   1 2 -4   2 1 0   (1)
5.4772 4.5129 0.0405   5 2 1   2 1 5   0 0 1   (1)
5.4772 4.5240 0.0404   5 2 -1   1 5 1   1 1 0   (1)
5.4772 4.5789 0.0399   5 1 2   1 2 -4   1 0 1   (1)
5.4772 4.6368 0.0394   5 2 1   2 0 5   2 1 -1   (1)
5.4772 4.6869 0.0390   5 2 1   0 5 1   -2 1 0   (1)
5.4772 4.8270 0.0378   5 2 1   0 5 -1   2 3 0   (1)
5.4772 4.8339 0.0378   5 1 -2   3 0 4   1 0 1   (1)
5.4772 4.9193 0.0371   5 1 2   0 2 5   1 0 0   (1)
5.4772 4.9363 0.0370   5 2 1   0 1 5   -1 0 2   (1)
5.4772 4.9866 0.0366   5 1 -2   0 4 3   1 2 1   (1)
5.4772 5.0166 0.0364   5 2 1   1 -5 0   0 1 0   (1)
5.4772 5.0695 0.0360   5 2 1   0 -1 5   1 0 2   (1)
5.4772 5.1284 0.0356   5 2 1   0 2 5   2 1 1   (1)
5.4772 5.1446 0.0355   5 1 2   1 1 -5   1 0 2   (1)
5.4772 5.1833 0.0352   5 2 1   0 5 -2   1 1 0   (1)
5.4772 5.2313 0.0349   5 1 2   4 1 -4   0 0 1   (1)
5.4772 5.3072 0.0344   5 2 1   -2 0 5   2 1 2   (1)
5.4772 5.3260 0.0343   5 2 1   0 5 3   1 0 0   (1)
5.4772 5.3821 0.0339   5 2 1   0 2 -5   2 1 0   (1)
5.4772 5.3852 0.0339   5 1 -2   2 0 5   1 0 2   (12)
5.4772 5.4742 0.0334   5 2 1   2 -5 1   1 2 0   (1)
5.0000 5.4918 0.0364   4 0 3   5 1 -3   1 0 1   (1)
5.4772 5.4955 0.0332   5 1 2   3 -5 1   0 1 0   (1)
4.1231 5.4987 0.0441   4 1 0   1 5 3   2 2 1   (1)
5.3852 5.4992 0.0338   4 2 3   5 2 -3   2 1 1   (1)
5.1962 5.5042 0.0350   5 -1 1   3 5 0   1 2 0   (1)
4.6904 5.5062 0.0387   3 3 2   5 0 -3   2 1 0   (1)
4.3589 5.5155 0.0416   3 3 1   2 -5 2   2 0 1   (1)
3.7417 5.5162 0.0485   3 1 2   -2 2 5   1 0 0   (1)
5.0000 5.5172 0.0362   4 0 3   -1 4 4   1 1 2   (1)
3.7417 5.5227 0.0484   3 1 -2   0 3 5   2 2 1   (1)
5.0990 5.5262 0.0355   5 0 1   -2 5 2   0 2 1   (1)
5.3852 5.5274 0.0336   5 2 0   0 5 3   1 2 1   (1)
5.0000 5.5462 0.0361   4 0 3   0 5 3   1 2 2   (1)
4.6904 5.5473 0.0384   3 3 -2   1 4 4   1 2 1   (1)
5.3852 5.5492 0.0335   4 3 2   -2 2 5   1 1 1   (1)
5.3852 5.5523 0.0334   5 2 0   1 3 5   0 1 2   (1)
5.0990 5.5781 0.0352   4 1 3   2 5 -2   1 0 1   (1)
4.1231 5.5783 0.0435   3 -2 2   3 4 3   1 1 1   (1)
4.5826 5.5806 0.0391   4 2 1   -1 5 3   1 0 0   (1)
5.0990 5.5816 0.0351   5 1 0   3 -5 1   1 0 0   (1)
5.1962 5.5844 0.0345   5 1 1   2 2 -5   1 0 1   (1)
5.3852 5.5863 0.0332   5 2 0   2 5 4   0 1 1   (1)
3.7417 5.5870 0.0478   3 2 1   4 -4 1   0 1 0   (1)
3.0000 5.5877 0.0597   2 -2 1   2 5 2   1 2 1   (1)
3.6056 5.5884 0.0496   3 2 0   0 3 5   1 0 -1   (1)
4.2426 5.5927 0.0421   4 -1 1   3 5 0   1 2 0   (1)
5.4772 5.6006 0.0326   5 2 1   -1 4 4   0 1 1   (1)
3.1623 5.6036 0.0564   3 1 0   1 3 5   0 1 2   (1)
4.2426 5.6075 0.0420   4 1 1   3 1 -5   0 0 1   (1)
5.0990 5.6125 0.0349   5 1 0   2 3 5   0 1 2   (1)
4.2426 5.6224 0.0419   4 1 1   2 -5 2   1 1 0   (1)
5.1962 5.6240 0.0342   5 1 1   2 4 5   1 0 0   (1)
4.5826 5.6273 0.0388   4 2 1   0 5 -3   1 1 0   (1)
4.3589 5.6289 0.0408   3 3 1   1 -4 4   1 0 1   (1)
5.3852 5.6355 0.0330   5 0 2   -2 5 2   1 1 1   (1)
5.0000 5.6356 0.0355   4 3 0   1 4 5   1 2 2   (1)
3.6056 5.6364 0.0492   3 0 2   4 1 -4   1 0 1   (1)
4.6904 5.6448 0.0378   3 -3 2   2 5 2   1 2 1   (1)
5.3852 5.6599 0.0328   5 0 2   5 1 -4   2 0 1   (1)
5.0990 5.6603 0.0346   5 0 1   -2 2 5   1 1 3   (1)
5.1962 5.6634 0.0340   5 1 1   1 4 -4   2 -1 2   (1)
4.6904 5.6649 0.0376   3 3 2   5 -3 1   2 1 1   (1)
4.3589 5.6662 0.0405   3 1 -3   5 0 3   2 0 1   (1)
4.2426 5.6667 0.0416   4 1 1   1 4 -4   2 1 0   (1)
5.0990 5.6670 0.0346   4 3 1   -3 0 5   1 1 1   (1)
4.1231 5.6672 0.0428   4 1 0   3 -5 1   1 0 0   (1)
5.3852 5.6721 0.0327   4 2 3   -2 3 5   1 0 0   (1)
3.3166 5.6729 0.0531   3 1 1   2 2 -5   1 0 2   (1)
2.2361 5.6745 0.0788   2 1 0   0 3 5   1 1 1   (1)
5.3852 5.6751 0.0327   4 2 3   -5 1 3   0 1 2   (1)
3.0000 5.6765 0.0587   2 2 1   -5 1 3   0 1 1   (1)
4.5826 5.6779 0.0384   4 1 2   -2 2 5   1 0 0   (1)
5.3852 5.6842 0.0327   5 0 -2   3 3 4   2 1 1   (1)
2.4495 5.6862 0.0718   2 1 1   1 5 -3   1 0 1   (1)
3.7417 5.6883 0.0470   3 2 1   5 0 -4   2 1 0   (1)
5.0000 5.6886 0.0352   4 0 3   4 1 -4   1 0 1   (1)
5.4772 5.6892 0.0321   5 1 -2   0 3 5   1 1 1   (1)
5.0990 5.6907 0.0345   4 3 1   1 -4 4   1 1 0   (1)
3.7417 5.6946 0.0469   3 2 1   3 1 -5   1 1 2   (1)
5.3852 5.6963 0.0326   4 -2 3   2 5 2   1 2 1   (1)
5.1962 5.7025 0.0337   5 1 1   4 1 -5   0 0 1   (1)
4.1231 5.7035 0.0425   4 0 1   0 3 5   1 1 2   (1)
5.0990 5.7042 0.0344   5 0 1   1 5 3   2 1 1   (1)
3.3166 5.7049 0.0529   3 -1 1   3 5 0   1 2 0   (1)
3.0000 5.7057 0.0584   2 -2 1   1 4 4   1 1 2   (1)
4.2426 5.7106 0.0413   4 1 1   1 4 5   1 0 0   (1)
5.0990 5.7144 0.0343   4 1 3   -4 1 4   1 0 0   (1)
1.7321 5.7155 0.1010   1 1 -1   5 0 3   2 0 1   (1)
5.1962 5.7155 0.0337   5 1 -1   4 0 5   1 0 1   (1)
3.7417 5.7196 0.0467   3 2 1   2 -5 2   1 2 0   (1)
4.3589 5.7216 0.0401   3 3 1   3 2 -5   1 1 0   (1)
5.3852 5.7235 0.0324   4 3 2   -3 4 3   1 0 0   (1)
4.1231 5.7240 0.0424   2 2 -3   1 4 4   0 1 2   (1)
4.6904 5.7287 0.0372   3 2 -3   4 1 4   1 0 2   (1)
2.4495 5.7300 0.0712   2 1 1   2 -5 2   1 3 0   (1)
5.0000 5.7306 0.0349   4 3 0   2 -2 5   1 0 1   (1)
5.3852 5.7325 0.0324   4 2 3   -4 1 4   1 1 2   (1)
5.4772 5.7329 0.0318   5 2 1   -1 5 3   1 0 0   (1)
3.1623 5.7359 0.0551   3 1 0   -1 4 4   0 1 1   (1)
3.3166 5.7366 0.0526   3 1 1   -2 5 2   0 2 1   (1)
3.7417 5.7383 0.0466   3 2 1   1 -4 4   1 1 0   (1)
4.2426 5.7397 0.0411   4 1 1   -2 2 5   1 1 2   (1)
4.3589 5.7400 0.0400   3 3 1   4 -4 1   0 1 0   (1)
5.0990 5.7412 0.0342   5 1 0   -1 4 4   0 1 1   (1)
5.4772 5.7417 0.0318   5 2 1   -2 2 5   0 1 2   (1)
5.7446 0.2462 0.7071   4 4 1   1 1 0   0 1 0   (1)
5.7446 0.7177 0.2425   4 4 1   1 0 0   0 1 0   (1)
5.7446 0.7977 0.2182   5 2 2   2 1 0   0 0 1   (1)
5.7446 0.9374 0.1857   5 2 2   0 1 0   2 0 1   (1)
5.7446 1.1146 0.1562   4 4 1   1 0 1   1 1 0   (1)
5.7446 1.3143 0.1325   4 4 1   1 0 -1   1 1 0   (1)
5.7446 1.4142 0.1231   4 4 1   1 -1 0   1 0 0   (12)
5.7446 1.4975 0.1162   4 4 1   1 3 0   0 1 0   (1)
5.7446 1.5275 0.1140   5 2 2   1 2 1   1 -1 0   (1)
5.7446 1.7233 0.1010   5 2 2   2 1 -1   0 0 1   (1)
5.7446 1.7495 0.0995   5 2 2   2 0 -1   0 1 2   (1)
5.7446 1.9771 0.0880   4 4 1   1 0 2   1 1 0   (1)
5.7446 2.0449 0.0851   5 2 2   3 -1 1   0 1 0   (1)
5.7446 2.1249 0.0819   4 4 1   2 -1 0   1 0 0   (1)
5.7446 2.2088 0.0788   4 4 1   0 3 1   1 0 0   (1)
5.7446 2.2896 0.0760   5 2 2   2 0 3   2 1 0   (1)
5.7446 2.4246 0.0718   4 4 1   1 -1 2   1 0 1   (1)
5.7446 2.4433 0.0712   4 4 1   2 1 -2   1 1 0   (1)
5.7446 2.5166 0.0692   5 2 2   1 3 0   2 0 1   (1)
5.7446 2.6572 0.0655   5 2 2   2 1 -2   0 0 1   (1)
5.7446 2.6799 0.0650   4 4 1   2 1 3   1 1 0   (1)
5.7446 2.8391 0.0613   4 4 1   3 -1 0   1 0 0   (1)
5.7446 2.9181 0.0597   4 4 1   1 0 3   1 1 0   (1)
5.7446 2.9233 0.0595   4 4 1   1 5 0   0 1 0   (1)
5.7446 2.9797 0.0584   5 2 2   3 -2 1   0 1 0   (1)
5.7446 3.0847 0.0564   5 2 2   0 -1 3   2 1 0   (1)
5.7446 3.1575 0.0551   4 4 1   1 0 -3   1 1 0   (1)
5.7446 3.2753 0.0531   2 2 -5   1 3 1   0 1 2   (1)
5.7446 3.3121 0.0526   5 2 2   1 1 -3   2 1 0   (1)
5.7446 3.3979 0.0512   4 4 1   2 1 -3   1 1 0   (1)
5.7446 3.5377 0.0492   4 1 -4   2 0 3   1 0 1   (1)
5.7446 3.5548 0.0490   4 4 1   5 0 1   0 1 0   (1)
5.7446 3.5929 0.0485   5 2 2   2 1 -3   0 0 1   (1)
5.7446 3.6390 0.0478   4 4 1   -2 3 1   1 0 0   (1)
5.7446 3.7050 0.0470   5 2 -2   1 2 3   1 1 1   (1)
5.7446 3.7254 0.0467   5 2 2   -2 3 1   0 2 1   (1)
5.7446 3.7376 0.0466   5 2 2   0 4 1   -1 1 0   (1)
5.7446 3.7859 0.0460   5 2 2   1 4 -1   1 -1 1   (1)
5.7446 3.8808 0.0449   4 4 1   1 0 4   1 1 0   (1)
5.7446 3.9158 0.0445   5 2 2   3 -3 1   0 1 0   (1)
5.7446 4.1084 0.0424   5 2 2   2 5 0   2 0 1   (1)
5.7446 4.1231 0.0422   4 4 1   1 0 -4   1 1 0   (12)
5.7446 4.1524 0.0419   2 2 -5   4 1 1   1 0 1   (1)
5.7446 4.1851 0.0416   4 4 1   1 -1 4   1 0 2   (1)
5.7446 4.2391 0.0411   5 2 2   1 -4 1   1 3 0   (1)
4.2426 5.7446 0.0410   1 1 -4   1 5 3   0 1 2   (1)
5.7446 4.2711 0.0408   4 4 1   5 -1 0   1 0 0   (1)
5.7446 4.3554 0.0400   4 4 1   -3 3 1   1 0 0   (1)
5.7446 4.3658 0.0399   4 4 1   2 1 -4   1 1 0   (1)
5.7446 4.3797 0.0397   5 2 2   1 5 0   2 -1 1   (1)
5.7446 4.5294 0.0384   5 2 2   2 1 -4   0 0 1   (1)
5.7446 4.6090 0.0378   4 4 1   2 1 5   1 1 0   (1)
5.7446 4.6515 0.0374   5 2 2   0 5 1   3 0 1   (1)
5.7446 4.6775 0.0372   5 2 2   1 -1 5   2 1 0   (1)
5.7446 4.8021 0.0362   5 2 2   0 2 5   1 1 2   (1)
5.7446 4.8524 0.0359   4 4 1   1 0 5   1 1 0   (1)
5.7446 4.9052 0.0355   5 2 2   0 5 -1   2 0 1   (1)
5.7446 4.9513 0.0352   4 1 -4   3 0 4   1 0 1   (1)
5.7446 4.9635 0.0351   4 1 -4   2 0 5   1 0 2   (1)
5.7446 4.9879 0.0349   5 2 2   0 4 -3   1 1 0   (1)
5.7446 5.0242 0.0346   5 2 -2   1 0 5   3 1 1   (1)
5.7446 5.0513 0.0345   2 2 -5   1 5 1   0 1 1   (1)
5.7446 5.0722 0.0343   4 4 1   -4 3 1   1 0 0   (1)
5.7446 5.0960 0.0342   4 4 1   1 0 -5   1 1 0   (1)
5.7446 5.1227 0.0340   5 2 2   0 3 5   -1 1 2   (1)
5.7446 5.1316 0.0339   5 -2 2   1 2 5   0 1 2   (1)
5.7446 5.2020 0.0335   5 2 -2   2 3 4   1 1 1   (1)
5.7446 5.2829 0.0330   5 -2 2   0 5 2   1 1 1   (1)
5.7446 5.3400 0.0326   4 4 1   2 1 -5   1 1 0   (1)
5.7446 5.3739 0.0324   4 1 -4   3 2 4   2 1 1   (1)
5.7446 5.3852 0.0323   5 2 2   2 -5 0   3 0 1   (12)
5.7446 5.4661 0.0318   5 2 2   2 1 -5   0 0 1   (1)
5.7446 5.4745 0.0318   5 2 2   1 -5 2   2 0 1   (1)
5.7446 5.5841 0.0312   5 2 2   0 5 4   2 1 1   (1)
5.7446 5.5976 0.0311   4 4 1   1 3 -5   1 0 3   (1)
5.7446 5.6622 0.0307   4 1 -4   5 0 3   2 0 1   (1)
5.7446 5.7022 0.0305   4 4 1   0 3 -5   1 0 2   (1)
5.7446 5.7049 0.0305   4 4 1   5 -3 1   0 1 0   (1)
5.3852 5.7476 0.0323   4 3 2   5 -3 3   2 1 1   (1)
5.0990 5.7479 0.0341   5 1 0   0 5 3   2 2 1   (1)
4.1231 5.7497 0.0422   3 2 2   0 -3 5   1 1 0   (1)
3.1623 5.7533 0.0550   3 0 1   0 5 3   1 1 1   (1)
5.3852 5.7566 0.0323   4 2 3   -3 4 3   0 1 1   (1)
5.0990 5.7579 0.0341   4 3 -1   3 3 5   1 1 2   (1)
5.0000 5.7585 0.0347   4 0 -3   5 2 3   2 1 2   (1)
5.4772 5.7591 0.0317   5 -2 1   3 5 0   1 2 0   (1)
2.2361 5.7619 0.0776   2 0 1   -1 3 5   0 1 2   (1)
5.7446 5.7656 0.0302   4 4 1   5 0 -4   0 1 1   (1)
3.6056 5.7713 0.0481   3 2 0   0 5 4   2 0 -1   (1)
4.6904 5.7722 0.0369   3 3 2   3 4 -4   1 1 1   (1)
5.0990 5.7746 0.0340   5 1 0   4 -5 1   1 0 0   (1)
3.7417 5.7756 0.0463   2 -3 1   5 1 4   1 1 1   (1)
4.6904 5.7761 0.0369   3 3 2   1 -5 3   1 0 1   (1)
3.1623 5.7793 0.0547   3 1 0   3 -5 1   1 0 0   (1)
4.1231 5.7854 0.0419   4 0 1   0 5 3   -1 2 1   (1)
1.4142 5.7879 0.1222   1 1 0   -2 5 3   0 2 1   (1)
4.2426 5.7879 0.0407   4 1 1   3 2 -5   2 0 3   (1)
5.4772 5.7879 0.0315   5 2 1   4 0 -5   2 1 1   (1)
5.7446 5.7892 0.0301   5 2 2   3 -5 1   0 1 0   (1)
4.6904 5.7958 0.0368   3 -3 2   3 4 3   1 1 1   (1)
3.3166 5.7997 0.0520   3 1 1   0 4 5   1 0 0   (1)
5.0000 5.8000 0.0345   4 3 0   -3 3 4   1 2 1   (1)
5.0990 5.8012 0.0338   4 -3 1   3 5 0   1 2 0   (1)
5.3852 5.8043 0.0320   4 3 2   3 -5 0   3 0 1   (1)
5.4772 5.8138 0.0314   5 2 1   3 -5 1   1 3 0   (1)
4.5826 5.8146 0.0375   4 -2 1   3 5 0   1 2 0   (1)
5.3852 5.8161 0.0319   5 2 0   2 4 5   1 1 1   (1)
2.4495 5.8166 0.0702   2 1 1   -1 4 5   1 0 0   (1)
5.1962 5.8182 0.0331   5 1 1   0 -3 5   2 0 1   (1)
3.7417 5.8187 0.0459   3 2 1   1 3 -5   1 0 2   (1)
5.3852 5.8191 0.0319   4 3 2   -3 0 5   0 1 3   (1)
5.0990 5.8210 0.0337   4 1 3   4 -5 2   1 2 1   (1)
3.0000 5.8214 0.0573   2 2 1   3 0 -5   0 1 2   (1)
3.7417 5.8248 0.0459   3 -2 1   3 5 0   1 2 0   (1)
4.1231 5.8259 0.0416   3 2 2   3 0 -5   2 1 0   (1)
4.5826 5.8269 0.0375   4 2 1   0 -3 5   1 0 1   (1)
5.0990 5.8277 0.0337   4 1 3   -3 4 3   2 0 1   (1)
5.3852 5.8280 0.0319   4 3 2   0 -3 5   1 1 0   (1)
5.4772 5.8281 0.0313   5 2 1   0 -3 5   2 1 0   (1)
5.7446 5.8284 0.0299   5 2 2   -3 4 3   2 1 1   (1)
5.8310 0.7071 0.2425   4 3 3   2 1 2   1 1 0   (1)
5.8310 0.7475 0.2294   4 3 3   1 1 0   0 0 1   (1)
5.8310 0.8575 0.2000   4 3 3   0 1 0   1 0 1   (1)
5.8310 1.0000 0.1715   5 3 0   0 0 1   2 1 0   (12)
5.8310 1.0146 0.1690   5 0 3   2 1 1   0 1 0   (1)
5.8310 1.0572 0.1622   5 3 0   1 1 1   2 1 0   (1)
5.8310 1.1246 0.1525   5 3 0   1 0 1   2 1 0   (1)
5.8310 1.2005 0.1429   4 3 3   2 1 0   1 1 1   (1)
5.8310 1.2127 0.1414   5 0 3   3 1 1   1 1 0   (1)
5.8310 1.3173 0.1302   5 3 0   0 1 1   2 1 0   (1)
5.8310 1.4038 0.1222   4 3 3   1 0 -1   2 1 0   (1)
5.8310 1.4349 0.1195   5 3 0   2 0 1   2 1 0   (1)
5.8310 1.5624 0.1098   5 3 0   1 2 1   2 1 0   (1)
5.8310 1.5904 0.1078   4 3 3   1 1 -1   0 0 1   (1)
5.8310 1.6179 0.1060   4 3 3   0 2 1   1 1 1   (1)
5.8310 1.6977 0.1010   5 3 0   1 -1 1   2 1 0   (1)
5.8310 1.8391 0.0933   5 3 0   3 0 1   2 1 0   (1)
5.8310 1.8630 0.0921   4 3 3   3 0 2   0 1 0   (1)
5.8310 1.9852 0.0864   5 3 0   0 2 1   2 1 0   (1)
5.8310 2.0073 0.0854   5 0 3   2 2 1   0 1 0   (1)
5.8310 2.0651 0.0830   5 3 0   1 0 -2   1 1 1   (1)
5.8310 2.1351 0.0803   5 3 0   2 -1 1   2 1 0   (1)
5.8310 2.1761 0.0788   5 3 0   0 1 2   1 1 1   (1)
5.8310 2.2096 0.0776   4 3 3   1 -2 0   2 0 1   (1)
5.8310 2.2881 0.0750   5 3 0   4 0 1   2 1 0   (1)
5.8310 2.2945 0.0747   4 3 3   -1 2 1   1 1 1   (1)
5.8310 2.3326 0.0735   5 3 0   1 2 2   -1 0 1   (1)
5.8310 2.4435 0.0702   5 3 0   1 -2 1   2 1 0   (1)
5.8310 2.5263 0.0679   5 3 0   3 0 2   0 -1 1   (1)
5.8310 2.6009 0.0659   5 3 0   3 -1 1   2 1 0   (1)
5.8310 2.7170 0.0631   4 3 3   1 1 4   0 0 1   (1)
5.8310 2.7493 0.0624   5 3 0   -2 1 2   0 1 1   (1)
5.8310 2.7600 0.0621   5 3 0   0 3 1   2 1 0   (1)
5.8310 2.8388 0.0604   4 3 3   1 3 -1   2 1 2   (1)
5.8310 2.8748 0.0597   4 3 3   2 1 -2   1 1 2   (1)
5.8310 2.9205 0.0587   5 3 0   2 -2 1   2 1 0   (1)
5.8310 2.9951 0.0573   5 0 3   1 2 -2   2 1 0   (1)
3.0000 5.8310 0.0572   2 2 1   3 -5 1   0 1 0   (1)
5.8310 3.0049 0.0571   5 0 3   2 3 1   0 1 0   (1)
5.8310 3.0195 0.0568   5 3 0   1 1 3   2 1 -1   (1)
5.8310 3.0774 0.0557   4 3 3   1 4 0   1 0 1   (1)
5.8310 3.0822 0.0556   5 3 0   1 4 1   2 1 0   (1)
5.8310 3.1201 0.0550   5 0 3   0 3 1   1 1 1   (1)
5.8310 3.2222 0.0532   4 3 3   0 4 1   -1 2 0   (1)
5.8310 3.2313 0.0531   5 3 0   1 2 3   1 1 1   (1)
5.8310 3.2449 0.0529   5 3 0   1 -3 1   2 1 0   (1)
5.8310 3.2585 0.0526   5 3 0   0 3 2   1 2 1   (1)
5.8310 3.2988 0.0520   5 3 0   1 -1 3   1 0 1   (1)
5.8310 3.4085 0.0503   5 3 0   3 -2 1   2 1 0   (1)
5.8310 3.4556 0.0496   5 3 0   0 2 3   -1 0 1   (1)
5.8310 3.4683 0.0494   4 3 3   4 0 -1   1 1 1   (1)
5.8310 3.5355 0.0485   5 3 0   1 4 2   -1 1 1   (1)
5.8310 3.5438 0.0484   5 3 0   2 -1 3   3 1 1   (1)
5.8310 3.5687 0.0481   4 3 3   0 3 -2   1 2 0   (1)
5.8310 3.5728 0.0480   5 3 0   0 4 1   2 1 0   (1)
5.8310 3.6096 0.0475   4 3 3   1 -1 4   1 0 2   (1)
5.8310 3.6662 0.0468   4 3 3   2 0 5   1 1 0   (1)
5.8310 3.7061 0.0463   4 3 3   -3 2 1   1 1 1   (1)
5.8310 3.7377 0.0459   5 3 0   2 -3 1   2 1 0   (1)
5.8310 3.8002 0.0451   4 3 3   -1 4 1   2 0 1   (1)
5.8310 3.8233 0.0449   4 3 3   0 4 -1   1 0 1   (1)
5.8310 3.8425 0.0446   5 0 3   -3 3 1   0 1 1   (1)
5.8310 3.8881 0.0441   4 3 3   1 0 -4   1 1 2   (1)
5.8310 3.9032 0.0439   5 3 0   1 5 1   2 1 0   (1)
5.8310 3.9220 0.0437   4 3 3   1 0 5   1 1 -1   (1)
5.8310 3.9445 0.0435   4 3 3   -2 3 2   1 1 1   (1)
5.8310 4.0037 0.0428   5 0 3   2 4 1   0 1 0   (1)
5.8310 4.0330 0.0425   5 3 0   1 0 4   2 1 1   (1)
5.8310 4.0656 0.0422   5 3 0   -2 2 3   0 1 1   (1)
5.8310 4.0693 0.0421   5 3 0   1 -4 1   2 1 0   (1)
5.8310 4.0909 0.0419   5 3 0   0 1 -4   2 1 1   (1)
5.8310 4.1195 0.0416   5 3 0   -2 3 2   0 2 1   (1)
5.8310 4.1551 0.0413   4 3 3   1 1 -4   0 0 1   (1)
5.8310 4.1763 0.0411   5 0 3   1 4 2   1 1 1   (1)
5.8310 4.1833 0.0410   5 3 0   4 -1 3   2 0 1   (1)
5.8310 4.2357 0.0405   5 3 0   3 -3 1   2 1 0   (1)
5.8310 4.2496 0.0404   4 3 3   1 4 -2   2 1 2   (1)
5.8310 4.2875 0.0400   5 3 0   3 0 4   1 1 -1   (1)
5.8310 4.3589 0.0393   3 3 -4   3 1 3   1 0 2   (12)
5.8310 4.4025 0.0390   5 3 0   0 5 1   2 1 0   (1)
5.8310 4.4125 0.0389   4 3 3   1 -1 5   1 1 0   (1)
5.8310 4.4225 0.0388   5 3 0   2 -1 4   1 0 1   (1)
5.8310 4.4292 0.0387   5 0 3   3 3 -2   2 1 0   (1)
5.8310 4.5568 0.0376   5 0 3   0 3 4   1 1 2   (1)
5.8310 4.5697 0.0375   5 3 0   2 -4 1   2 1 0   (1)
5.8310 4.5794 0.0375   5 0 3   1 4 -2   1 1 0   (1)
5.8310 4.6082 0.0372   4 3 3   -1 1 5   2 1 0   (1)
5.8310 4.6368 0.0370   4 3 3   5 1 -2   0 1 2   (1)
5.8310 4.6621 0.0368   4 3 3   -3 3 2   1 1 1   (1)
5.8310 4.7310 0.0362   5 3 0   0 5 2   1 3 1   (1)
5.8310 4.7372 0.0362   5 3 0   4 -3 1   2 1 0   (1)
5.8310 4.7558 0.0361   5 0 3   0 4 3   2 1 2   (1)
5.8310 4.8203 0.0356   5 3 0   1 5 3   1 2 1   (1)
5.8310 4.9020 0.0350   4 3 3   -2 4 3   1 1 1   (1)
5.8310 4.9050 0.0350   5 3 0   1 -5 1   2 1 0   (1)
5.8310 4.9497 0.0346   5 3 0   1 4 4   2 2 1   (1)
5.8310 4.9557 0.0346   5 0 -3   1 3 4   1 1 1   (1)
5.8310 4.9735 0.0345   4 3 -3   0 3 4   1 2 1   (1)
5.8310 5.0000 0.0343   4 3 3   3 0 -4   2 1 0   (12)
5.8310 5.0029 0.0343   5 0 3   2 5 1   0 1 0   (1)
5.8310 5.0118 0.0342   4 3 3   1 1 -5   0 0 1   (1)
5.8310 5.0264 0.0341   5 0 3   1 5 0   2 2 1   (1)
